PLAYERS,Year_to_Model,Avg_Score,Predicted_Avg_Score,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Mackenzie Hughes,2023,66.75,68.9,-0.2596,0.0058,0.2812,-1.1369,-0.5771,-1.8417,-0.9182,-1.1822,-0.0869,0.7361,-1.6067,-0.6903,0.7691,-0.208,0.7603,1.1072,1.0355
Byeong Hun An,2023,66.75,68.78,-0.1,1.6513,1.0342,-1.6179,-1.5599,-1.0606,-0.9385,-0.2174,-0.6176,0.3713,0.023,1.4613,0.5795,0.6551,1.6137,0.4476,-0.311
Carson Young,2023,66.75,69.54,-0.1,-0.2575,-0.7942,0.7251,0.6647,-0.0129,0.4345,0.2847,0.3493,-1.1016,0.4798,-0.264,0.6364,1.1511,-0.2511,-0.0008,0.1483
Sung Kang,2023,66.75,69.32,-0.5609,-0.6634,-0.2573,-1.3387,-1.0089,0.1712,-0.465,-0.1102,2.3693,-1.4225,-0.4838,0.5953,-2.5202,2.902,-1.0096,1.5424,-1.2683
Seamus Power,2023,67.0,68.17,1.2595,0.0387,0.6397,0.012,0.934,0.1405,0.0828,-1.3063,-1.7957,0.2241,1.5599,0.2023,-0.4727,0.913,-0.1562,1.2918,0.6705
Doug Ghim,2023,67.0,68.99,-0.3389,-0.4111,-0.4488,0.8439,0.3316,0.5487,0.0422,-0.2907,0.2743,-0.0383,-0.6979,-0.2706,0.7122,0.8138,-0.0298,0.0123,-0.5962
Scott Piercy,2023,67.0,69.64,-0.2282,-0.6085,-0.8744,-0.7407,-0.059,-0.9261,-0.6409,-0.1441,-0.5731,-0.777,0.1253,-0.0042,0.0392,0.9527,0.9499,-0.8187,0.1363
Joseph Bramlett,2023,67.0,68.5,0.9912,1.388,1.8052,-1.4161,-0.8917,-1.4217,1.1819,1.0577,1.1857,0.7279,1.3957,-0.1441,0.2762,0.4517,-0.0614,-0.7791,-0.5551
Eric Cole,2023,67.25,68.97,-0.1,-0.1259,-0.0576,-1.0199,-0.3777,-1.0583,-0.7119,0.4653,0.516,-0.0328,1.1911,0.3422,0.57,0.2235,1.1396,1.7667,1.403
Trevor Cone,2023,67.25,69.84,-0.1,1.8707,1.5154,-1.3349,-2.1067,-2.4057,0.7457,-0.3472,0.9023,0.2461,1.0936,-0.7103,-0.558,-1.4927,-1.3414,-1.5573,-0.1297
Hideki Matsuyama,2023,67.25,68.25,1.2553,-0.3124,-0.1443,0.278,1.0759,0.1971,-0.208,0.2227,-0.612,0.7425,-0.4172,0.2822,-0.4063,0.7592,0.7919,0.2498,0.2692
Nate Lashley,2023,67.25,68.62,-0.0992,-0.4111,-0.9497,0.3327,0.4159,0.7823,0.7119,1.1536,0.3382,-0.3482,0.4845,0.0091,-1.7998,0.2831,-0.4881,1.7403,-0.9298
Brandon Wu,2023,67.25,68.93,0.2111,-0.455,-0.3899,0.5534,0.5557,-0.2442,0.536,-0.0594,-0.0508,0.0422,-0.1055,-0.4771,-0.5959,-0.704,-0.3617,0.5532,-0.4633
Christiaan Bezuidenhout,2023,67.25,68.82,0.6818,-1.2229,-0.9366,0.8439,0.5249,0.9546,-0.3331,1.2664,-0.9843,-0.8785,-1.8161,-0.204,0.6364,-0.3072,0.5233,1.5292,0.2184
Aaron Baddeley,2023,67.25,68.87,-0.0671,-1.8591,-0.8253,0.1837,0.2391,0.5298,-0.1268,-0.0933,-0.1313,-1.0815,-0.1412,0.0158,1.2051,-0.6842,1.0132,1.8458,-0.0958
Garrick Higgo,2023,67.5,68.57,-0.1,0.7079,1.0735,-0.7633,-0.1803,-0.3881,0.0389,-0.5672,0.0409,0.6475,-0.1721,0.0291,0.5416,1.0271,0.8867,-1.2012,-0.6325
Doc Redman,2023,67.5,69.83,0.1836,-0.6963,-0.3588,-0.303,0.1713,-0.3032,-0.3298,0.1437,-0.3231,-1.5121,-0.4314,-1.0633,0.3141,-1.0512,-1.4204,-0.4493,-0.5672
Patton Kizzire,2023,67.5,69.41,0.5218,0.3129,-0.1149,-0.62,-1.1733,-0.1804,-1.2632,0.5612,1.1801,-0.0821,-1.2189,-0.6304,0.1908,-1.5125,-0.7093,0.7774,0.0903
Adam Hadwin,2023,67.75,68.43,-0.9321,-0.5756,-0.5634,0.942,0.1486,1.0608,0.4413,-0.7929,-1.2205,0.2927,-0.0032,0.3821,0.1245,0.2335,-0.7883,1.0016,1.2531
Martin Laird,2023,67.75,69.4,-0.5623,-0.6634,-0.475,0.0988,0.7551,-0.2182,-0.6984,-0.6349,-1.1844,-0.3784,-1.4402,0.7152,-0.6433,-1.2943,-0.172,-1.1748,-1.174
Stewart Cink,2023,67.75,68.98,-0.1,1.1028,0.332,-1.3821,-0.8547,-1.5161,-0.022,0.1663,-1.0232,0.3741,-0.0936,-0.8102,-1.0888,0.7543,-1.1518,0.263,-1.0023
Augusto Núñez,2023,67.75,69.31,-0.1,1.1796,1.0277,-0.8294,-1.2638,-0.6241,0.8235,1.0182,2.4693,-0.0547,1.6955,0.542,0.57,-0.7784,0.5233,-1.3726,-0.3376
Luke List,2023,67.75,68.55,-0.0243,1.3441,1.2339,-1.0746,-0.2214,-1.2305,0.9655,0.2791,0.4966,1.3441,2.1118,-0.5038,-1.0509,-0.6098,-0.9622,-0.9637,-2.3174
Tom Kim,2023,67.75,67.8,0.5473,-0.0929,-0.8073,2.0985,1.5302,1.7239,1.5742,1.2947,0.5744,1.036,0.544,-0.0042,1.4705,0.5757,1.8033,0.3949,-0.1345
Henrik Norlander,2023,67.75,69.34,-0.2596,-0.6744,-0.272,0.2176,0.2206,0.1499,0.5157,-1.0524,-2.3764,-1.1647,0.3584,-0.8835,0.0013,-0.5304,-0.2352,-0.8846,-1.9427
Sam Stevens,2023,67.75,69.11,-0.1,1.037,0.7003,-0.6049,0.0253,-0.9096,0.8674,0.9448,0.7772,-0.3619,1.8763,0.4088,-1.0225,-1.2595,0.0966,0.5004,-0.4729
Jonathan Byrd,2023,68.0,69.44,0.0687,-1.4203,-0.8302,0.2969,-0.464,1.0089,0.0693,-2.2316,-1.29,-1.9354,1.3529,-0.1841,1.5084,0.0599,0.9974,0.1706,-0.6905
Satoshi Kodaira,2023,68.0,69.67,0.5191,-1.4862,-1.7861,2.0664,0.9936,2.5451,0.1539,1.131,1.3163,-1.5057,-1.0191,0.0891,0.3141,1.3148,-0.4565,-2.0981,-1.348
Matt Kuchar,2023,68.0,67.95,1.2581,-0.4659,-1.1232,0.6327,1.376,1.2401,0.4887,-1.3401,-2.2597,-0.0931,1.46,1.4213,0.8449,0.7989,1.503,0.6719,1.2168
Tom Hoge,2023,68.0,68.4,0.1726,-0.444,-0.3866,1.0194,1.4583,1.1033,1.4085,2.2651,1.5302,0.0449,0.8176,-0.3439,-1.0225,0.4468,0.3811,0.5004,0.4263
Justin Lower,2023,68.0,69.63,0.2783,-0.6634,-0.8564,0.1044,0.2329,0.334,-0.5259,0.5161,-0.0146,-0.9178,0.0801,-1.7494,-0.122,-1.8299,-1.7207,0.3817,1.6447
Robby Shelton,2023,68.0,69.19,-0.1,-0.828,-0.4963,-0.0691,-0.2913,-0.5438,-0.2317,1.1818,0.7189,-0.3848,-0.0056,0.935,0.7406,0.288,1.2344,0.6719,-0.4488
Cameron Champ,2023,68.25,68.64,0.5143,1.9146,2.856,-0.2729,-0.4024,0.905,-0.2114,-1.4022,-1.415,0.6557,-1.2094,-2.6487,-1.1078,-1.9738,-3.696,-1.2803,-0.2046
Ryan Armour,2023,68.25,69.83,-0.0882,-1.7275,-2.1298,1.8589,1.1787,1.6531,0.6307,1.6445,0.9828,-2.1548,0.3394,-0.2773,-2.4443,0.6104,-1.3572,1.1203,-1.377
Taylor Montgomery,2023,68.25,68.91,-0.1,0.7298,0.7494,-0.9237,-0.205,-0.7279,-1.2361,-0.4431,0.1493,0.3412,-0.8835,-0.4638,0.4942,1.0221,0.3653,0.7906,3.3176
Chris Stroud,2023,68.25,69.66,-0.1,-0.9596,-1.2263,0.5289,-0.02,-0.8317,0.6036,-0.2512,-1.0232,-0.7112,1.0436,-0.4039,-0.0082,-0.9272,0.2072,-0.1855,-0.8549
Chad Ramey,2023,68.25,69.41,-0.1,-0.9706,-0.9153,0.2742,0.6338,0.2419,-0.3906,-0.4882,-0.5287,-0.2568,-0.8549,-2.4022,-0.9087,-0.6891,-1.1834,-0.5285,1.2241
K.H. Lee,2023,68.25,67.91,2.273,0.0168,0.0423,0.6968,0.6236,0.5133,0.9418,0.138,-1.2455,0.1592,0.0515,0.5886,0.8165,1.3793,1.6453,0.9357,0.6923
Adam Long,2023,68.25,69.01,-0.1,-0.9377,-1.1019,1.1231,0.6421,1.495,-0.4177,-2.0454,-1.7457,-0.9873,-0.6218,0.0091,1.1198,0.9378,0.4285,0.3289,0.0396
Scott Harrington,2023,68.25,69.2,-0.203,0.8285,1.0162,-1.4991,-1.5085,-1.1338,-0.2926,-1.1709,-0.8371,0.0504,0.9794,1.8676,-0.5959,-1.2099,-0.2194,-1.1748,-2.3924
Tano Goya,2023,68.25,69.48,-0.1,0.3678,0.3811,-0.0635,-0.3078,-0.591,0.0828,-0.8549,0.3354,0.0934,1.1887,0.3355,-0.2831,-0.7387,-0.3143,-1.5573,0.1435
Harrison Endycott,2023,68.25,69.45,-0.1,-0.7621,-1.0839,0.0554,-0.2379,-0.1545,-0.6679,-0.9734,-0.1952,-0.4067,-0.4505,0.0624,1.0155,0.4021,0.9183,-0.568,0.7817
James Hahn,2023,68.25,69.36,0.9177,-0.2027,-0.3489,0.7025,-0.647,0.2443,-0.066,-1.0411,-1.0705,-0.3637,0.6249,-0.2507,0.4657,-0.7338,-0.5197,-0.2251,-0.6349
Sean O'Hair,2023,68.25,69.63,0.2046,-1.168,-0.6387,0.7345,0.5948,0.8201,0.093,-1.8818,0.2576,-1.8202,1.3815,0.5753,2.3426,-0.9272,0.9341,-0.5812,-0.7485
S.H. Kim,2023,68.25,68.65,-0.1,0.7079,0.4171,-0.5728,0.0356,-0.4495,-0.8641,-0.4544,-0.6343,0.7169,-0.2459,1.7277,0.0771,0.0301,0.3336,-0.014,1.3691
Aaron Wise,2023,68.25,68.33,0.3798,0.3349,-0.0036,0.2271,-0.3283,0.695,-0.6612,-2.1808,-0.4731,0.6932,-1.7328,-1.1499,0.788,0.6204,0.2388,1.5952,1.2386
William McGirt,2023,68.5,69.87,-0.1,-2.2102,-1.7828,1.4137,0.3337,0.3599,-1.0264,-0.5728,0.7272,-1.6108,-1.2546,2.1807,1.954,2.0638,1.8349,0.4081,0.5931
Ryan Brehm,2023,68.5,69.84,-0.2268,0.8615,1.4614,-2.1386,-1.2289,-2.3089,-1.855,-1.0524,-0.8927,0.2955,-0.4053,-0.8169,-1.4111,-0.7189,-1.8945,-1.0956,0.0202
Robert Streb,2023,68.75,69.94,-0.2596,-0.3891,0.1323,-1.3425,-0.4085,-1.2683,-1.3714,-0.4205,-0.1647,-1.0239,-0.1055,-1.9959,-0.0177,-0.6197,-0.8832,0.4081,-2.1095
Andrew Novak,2023,68.75,68.77,0.2783,-0.3453,-0.493,-0.3106,-0.3263,0.5133,0.0017,0.3186,0.7828,-0.3528,0.2894,-0.0175,0.9302,0.665,0.4601,0.6323,0.0299
Jim Herman,2023,69.0,69.75,-0.7976,-0.8609,-0.9349,0.7364,1.1026,0.9758,-0.0964,-0.3641,-0.1202,-0.7733,-0.9215,-2.3489,-0.558,-2.2367,-1.8629,-1.7684,-1.1788
Will Gordon,2023,69.0,68.0,0.0687,1.3112,1.7953,0.2384,0.1898,-0.0648,1.7941,0.2847,0.3688,0.9483,1.4338,0.3755,0.0013,0.3128,-0.5197,0.2234,-0.5624
Davis Thompson,2023,69.0,68.52,-0.1,1.3112,1.0768,-0.3351,0.0068,-0.8365,-0.1471,0.6515,0.8634,1.5654,-1.2808,0.0091,-1.0414,-0.3221,0.0018,-0.0668,-0.3134
Bill Haas,2023,69.25,69.72,-0.1623,-0.2136,-0.6338,-0.2295,-0.2523,0.2372,-0.5428,-2.7901,-1.8485,-1.502,1.2601,1.6211,0.5321,0.8039,1.4714,-1.8343,0.2765
Jimmy Walker,2023,69.25,69.45,0.0687,1.2344,0.2043,-1.4991,-2.2651,-0.971,-1.5168,-0.4656,0.2243,0.0495,-1.3474,0.1623,1.1293,0.9725,0.9025,-0.2251,0.2934
S.Y. Noh,2023,69.25,69.85,-0.2596,0.3568,0.3647,-0.8652,-1.4036,-0.4825,-0.022,0.0309,0.2715,-1.7013,0.0301,0.189,-2.4728,-0.2873,-1.6417,0.9752,0.3031
Brice Garnett,2023,69.5,69.07,0.8512,-1.168,-1.277,0.5063,0.0746,0.0815,0.7152,0.3524,-0.6454,-0.7999,-0.2792,-0.2107,0.5037,-0.0393,-0.2669,0.2366,-0.2554
Lucas Glover,2023,70.0,69.74,-0.1,-0.795,-0.8302,1.3175,1.5117,1.2189,-0.2012,1.3229,0.1187,-1.1409,-0.2958,-0.8235,0.4089,0.1541,0.5549,-2.1113,0.5327
Kelly Kraft,2023,70.0,70.28,-1.4469,-1.5739,-1.7943,0.9194,0.8086,-0.0105,-2.572,-1.6674,-1.6095,-0.7624,-1.4521,-0.5571,-0.3874,-0.5006,-1.0728,0.5663,1.4417
Brent Grant,2023,70.25,70.17,-0.1,1.2125,1.3321,0.6213,-0.6799,-0.1285,-0.0694,-0.6236,0.4605,-0.5356,0.5821,0.5953,-0.6907,-0.079,-1.2466,-3.1138,-0.427
Harry Hall,2023,70.25,69.58,-0.1,0.2032,-0.0036,-0.7615,-2.6331,-1.2376,0.2316,-0.1102,-0.0869,-0.6399,-0.0722,0.1823,0.4563,0.6551,0.5707,0.4476,1.5239
Davis Riley,2023,69.5,68.84,0.749,0.2252,0.3565,-0.2351,-0.5668,0.7021,0.8336,1.1762,0.9912,-0.6243,0.6154,0.4421,1.6791,0.0946,0.0018,-1.1088,-0.5092
Dylan Frittelli,2023,69.5,69.89,0.0094,0.7408,0.5906,-2.3084,-2.0615,-1.8417,-2.3048,-0.6744,-0.6843,-0.6197,-1.6377,-0.0975,0.2667,0.4716,-0.1246,-0.0668,-0.4367
Dylan Wu,2023,69.5,68.66,-1.0666,-0.2027,-0.3097,0.5515,-0.2728,0.4685,1.3984,0.0365,0.3577,0.1309,1.6336,0.2889,0.5226,0.5658,0.1124,0.1838,0.1701
Michael Gligic,2023,69.5,69.68,0.1788,0.5543,0.5006,-0.7728,-1.5085,-0.9497,-0.7829,-0.4995,0.4549,-0.0227,0.1895,-0.5704,-0.1788,-0.0344,-1.1834,-0.5153,-2.2231
Austin Cook,2023,69.5,70.54,-1.1058,-1.7494,-1.4669,1.1118,0.8723,0.5228,-0.9284,-0.0425,0.6355,-2.1987,-0.9382,0.5487,-0.5106,0.5757,0.4601,-1.0033,0.1459
Greyson Sigg,2023,69.5,68.78,-0.9321,-0.6195,-0.9415,0.2422,0.3419,0.3883,0.3635,0.0421,-0.9149,-0.2577,-0.115,0.3089,0.0107,-0.2526,-0.1246,0.5795,-0.2868
Charley Hoffman,2023,69.5,69.13,-0.3941,0.7627,0.1847,-1.0086,-0.2934,-0.9261,0.3635,1.447,1.783,-0.3912,0.2942,0.7419,1.1577,0.4021,1.2028,-0.3042,-1.5124
David Lipsky,2023,69.5,69.09,0.48,-0.8499,-1.3933,1.0024,1.0409,0.4095,0.0896,-0.4826,-0.8232,-0.2668,-1.0952,-0.3839,1.2525,0.8932,0.6655,-1.2012,-0.809
Adam Schenk,2023,69.5,68.99,0.1801,0.7298,1.3649,-0.8878,-0.1433,-1.1739,0.0524,-0.8775,0.0493,-0.0099,0.3132,0.9683,-0.4822,0.7791,0.7761,-0.7791,0.7503
Matthias Schwab,2023,69.5,68.92,0.1438,-0.7292,-0.2638,0.4176,-0.3119,0.2679,-0.7762,-1.7802,-2.2625,-0.0282,-0.7693,0.6619,-0.34,0.4368,0.8551,0.1179,-1.5487
Kevin Roy,2023,69.5,69.28,-0.1,0.3897,0.7363,-0.2804,-0.0672,-1.0229,0.2384,1.2439,1.6108,-0.2623,0.8009,-0.0975,-0.776,0.8981,0.1282,0.7378,-1.9137
Ben Griffin,2023,70.0,68.99,-0.1,0.3678,0.5235,-1.1161,-0.8362,-1.2423,-0.2148,-0.4826,-0.7343,-0.2037,0.8485,1.3613,0.1814,0.1293,1.0448,0.5532,0.5327
Maverick McNealy,2023,70.0,68.64,0.4128,0.3239,0.7265,-0.735,-1.3543,0.2113,-0.6375,-0.7647,0.2465,0.0212,-0.7812,0.3089,-1.8756,-1.5026,-0.2352,2.5053,3.2015
Tyson Alexander,2023,70.0,69.57,-0.1,-0.1149,0.2043,-1.0067,-0.8608,-1.5373,-0.9148,-0.1441,0.5911,-0.3345,0.18,0.109,0.0202,0.6253,0.144,0.6982,-0.5358
Aaron Rai,2023,70.0,68.66,0.2783,-0.6963,-0.1443,1.5985,1.4028,1.0065,1.2022,-0.0199,0.3855,0.4088,0.3989,-2.2357,0.0297,-0.2129,-0.7409,-0.4625,-1.3964
Ryan Moore,2023,70.0,69.52,-0.3389,-1.6178,-2.1806,1.791,1.3884,1.0985,-0.4549,0.7417,-0.1258,-1.257,-1.6781,0.602,0.4942,1.3049,0.3653,0.4081,0.6802
Russell Knox,2023,70.5,69.67,0.2046,-1.7056,-1.1363,0.4327,0.0828,-0.1875,1.1211,2.1297,-0.0924,-1.8357,-0.2673,-0.9301,1.1388,-0.4957,-0.093,-0.4229,-1.4157
Austin Smotherman,2023,70.5,69.51,0.48,0.1155,-0.128,0.1799,-0.7313,0.4921,-1.0298,1.447,1.5246,-0.1123,-1.0572,-0.1308,0.6174,-1.205,0.065,-0.6076,0.6947
Kevin Chappell,2023,70.5,69.2,-0.4747,0.4556,0.2796,-0.5634,-1.8045,-1.3108,0.2452,-2.3839,-2.1041,0.2461,1.5599,-0.8768,0.3899,-1.1603,-0.7567,0.8565,-0.3424
Kyle Stanley,2023,71.0,68.97,-0.1,-0.0491,-0.8367,0.3006,1.1232,0.3552,0.58,0.1098,-1.1205,-0.1891,0.475,-0.0442,0.5226,0.422,-0.1562,-2.0322,-2.0539
Erik van Rooyen,2023,71.0,69.07,-0.4747,0.2362,0.2878,-0.0597,-0.795,0.4048,0.766,0.0703,-0.148,0.1766,0.5464,-1.1166,-1.1741,-1.9738,-1.8313,-0.9374,-1.0023
Scott Brown,2023,71.0,70.67,0.2725,-1.0803,-0.6927,0.8364,-0.2728,0.4166,-0.8404,-2.1639,0.0131,-2.4968,-0.4172,0.2622,0.7596,-1.8746,-0.172,-1.0956,-1.4109
Trey Mullinax,2023,71.0,69.18,0.4128,1.399,1.5924,-2.3536,-2.0944,-2.1438,-1.0366,0.1775,0.5355,0.8925,-0.5956,0.0025,0.2951,-0.704,-0.4565,-0.9242,-0.8791
Brian Stuard,2023,71.0,70.63,-0.493,-3.0439,-2.6045,0.5572,1.1005,-0.1262,-2.2879,-0.68,-1.3344,-2.8131,-1.276,-0.1574,0.2193,1.4685,0.1756,1.1599,-0.0354
Chesson Hadley,2023,71.0,68.93,-0.2295,-0.1807,-0.1836,-0.7275,-0.5956,-0.1899,-0.0119,0.1324,-0.6176,0.0495,-0.2411,0.3955,-2.0841,-0.1683,-1.4995,-0.0668,-0.6615
Justin Suh,2023,71.0,69.28,-0.1,-0.433,0.1585,0.744,0.8209,0.3104,-0.0017,0.9787,0.7606,-0.9937,-0.4362,-0.2107,-0.6338,-0.6147,-0.7725,1.4765,1.5649
Harry Higgs,2023,71.5,69.09,0.0436,0.3129,-0.2736,-1.4708,-0.978,-0.6146,0.1978,-0.5221,-0.8482,-1.3201,0.9794,0.6752,0.3899,-0.2526,-0.2036,1.2127,-1.1837
Cameron Percy,2023,71.5,69.12,-0.8355,-1.3106,-1.0053,0.727,-1.0993,0.7918,0.12,-0.9565,-0.6982,-0.3637,0.2062,1.0216,0.4468,1.5777,0.6497,-0.1855,1.6399
Martin Trainer,2023,71.5,70.0,-0.0923,0.7518,0.7068,-0.4823,-1.1507,-1.9243,-0.5462,-3.3487,-1.8624,-0.4981,0.5107,-1.7028,1.1293,1.1313,-0.5513,-0.6604,-0.3617
Cody Gribble,2023,71.5,69.26,-0.1,0.0716,0.2649,0.6081,0.2288,0.4354,0.1268,-0.0481,0.6855,-0.2403,1.5956,0.1224,0.8354,0.536,0.5865,-0.9769,-0.3666
Tyler Duncan,2023,71.5,69.4,-0.5027,-0.2356,-0.6796,1.1496,0.9299,0.6785,0.6138,-0.0143,0.4383,0.1473,0.0063,-0.9368,-1.468,-1.0562,-1.5627,-1.9003,-0.5382
Scott Stallings,2023,71.5,68.83,1.396,-0.0052,0.2682,-0.4445,-0.2728,-0.348,-0.3331,-0.1384,0.4966,0.3476,-0.8264,1.8876,-1.2215,-1.8895,-0.9306,-0.3834,0.6657
Michael Kim,2023,71.5,68.92,-0.203,0.4556,-0.0739,-0.2144,-0.6799,0.0437,0.8235,-0.0369,-0.6092,-0.574,1.8549,-0.1841,0.8733,-0.1733,0.6971,0.6455,-0.5479
Trevor Werbylo,2023,72.0,69.3,-0.1,0.4117,0.6152,-1.8047,-1.2638,-1.7284,-0.7153,-1.1709,-1.0066,-0.3482,0.5963,-0.0375,-0.1978,-0.0939,-0.6777,0.751,-0.2989
Nick Watney,2023,72.0,69.99,-0.3389,-0.1588,0.8902,-2.3574,-2.4974,-2.2995,-1.4728,-0.1215,-0.0035,-1.2405,-0.843,-0.204,0.0392,1.1015,-0.1562,0.9357,-0.9733
Max McGreevy,2023,72.5,70.16,-0.3941,-1.3216,-1.1772,-0.4407,-0.4085,-1.273,-2.386,-2.1187,-2.0874,-0.8447,-2.0207,1.2947,0.1719,-0.4659,0.0334,-0.6076,-0.9733
Jason Dufner,2023,72.5,69.26,-0.3941,-0.1588,-0.3031,-1.084,-0.1289,-0.5297,0.2824,0.4596,0.2549,-0.4853,1.5242,1.328,0.4373,0.04,0.9499,-2.1641,-1.7638
Kyle Westmoreland,2023,72.5,69.89,-0.1,1.4758,2.2373,-2.1537,-3.6323,-2.2476,0.492,0.0139,0.4077,-0.3985,1.7122,-0.4905,-1.3922,0.0202,-1.6575,-1.0033,0.3877
Carl Yuan,2023,72.5,69.06,-0.1,0.7518,0.8525,-1.0539,-1.6318,-1.1857,0.3635,1.0746,0.5938,0.5926,0.0943,0.8484,-1.0983,0.7146,-0.6461,-1.1616,-0.265
Brandon Matthews,2023,73.0,69.61,-0.1,2.485,2.6531,-2.1631,-3.2416,-2.4836,-0.2655,-0.3359,0.7133,0.3265,0.9413,-0.4971,0.5037,0.7741,-0.4091,-0.7263,-0.8621
Kramer Hickok,2023,73.0,69.24,-0.2268,-0.06,-0.4864,0.7062,0.3563,0.1192,0.1403,-0.1384,-0.9093,-0.1059,-0.8787,0.8884,-0.6623,-0.1435,0.7761,-1.5705,-0.4149
MJ Daffue,2023,73.0,68.56,-0.0671,0.9492,1.2535,-0.6539,-0.0816,-0.4683,0.208,0.3412,0.5549,0.7032,0.82,1.1548,0.788,0.1392,0.5075,-0.9637,-0.8621
Matti Schmid,2023,73.0,69.54,-0.1,1.9475,1.5433,-0.4483,-1.8313,-0.3621,-0.1877,-0.2118,0.9023,-0.3381,0.1205,-0.0975,-0.9466,1.533,-0.7567,-0.1591,-0.2215
Andrew Landry,2023,73.5,69.69,-0.0671,-1.3106,-1.4538,0.8722,1.0389,0.2136,-1.9497,-1.0975,-1.3956,-1.0549,-1.483,-0.0775,2.6554,1.5578,0.0334,0.4081,-0.6131
Ryan Gerard,2023,73.5,68.51,-0.1,0.302,-0.344,0.0346,0.5146,0.7705,-0.9689,-0.8493,-0.9204,1.4356,0.544,-3.1949,1.4895,-0.5006,0.5865,-0.3702,-0.6639
Paul Haley II,2023,73.5,70.4,-0.1,-1.7275,-1.6584,0.893,-0.2112,0.0319,-0.3974,0.4653,0.8467,-1.6831,-0.3791,0.8151,-1.0794,0.2384,0.1282,-0.911,0.7817
Troy Merritt,2023,74.0,70.11,0.6801,-0.9706,-1.1314,0.7213,0.7983,0.7564,-1.6386,0.217,0.1604,-1.1043,-0.7479,-0.5171,-0.6054,-0.8578,-0.5355,-1.1748,0.6149
Taylor Pendrith,2024,65.25,68.82,-0.1,1.4416,0.9601,-1.4363,-2.0724,-0.8008,0.0033,-0.4835,-0.3668,0.632,0.4569,0.549,-0.4297,0.4034,-1.1051,-0.3752,0.8797
Ben Kohles,2024,65.5,69.5,-0.2861,-1.7808,-1.5657,0.5275,0.9492,1.0267,-0.2072,-0.2269,0.1665,-1.4721,-0.5391,0.3679,-0.1266,-1.4926,-0.8482,-0.2553,-1.2599
Alex Noren,2024,65.75,67.3,0.7165,-0.5183,-0.1609,0.6718,1.5274,0.6064,2.1914,-1.0432,-0.6114,1.1705,1.7112,-0.3938,1.8862,0.6737,0.6122,0.416,-0.0681
S.H. Kim,2024,66.0,68.96,0.1321,0.3594,0.382,-1.6478,-1.0161,-0.4855,-1.6629,-0.5501,0.594,0.197,-0.4646,0.1432,0.1008,0.2205,0.2066,0.7756,1.6419
Aaron Rai,2024,66.0,68.53,0.0884,-0.7829,-0.2808,1.1523,0.9,1.9427,1.3523,0.2528,0.9774,-0.7639,0.9954,0.7613,0.2187,0.2364,1.0855,-0.3153,-0.582
Byeong Hun An,2024,66.0,68.47,0.3748,1.682,1.0711,0.0289,-1.0936,-0.4673,1.3138,2.1718,0.9752,1.3724,0.9407,0.9548,1.2967,0.4193,0.5176,-1.5739,-0.433
